DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-08-22T233000_smart3-00557.ghg	2022-08-23	00:00:00	235	0	18000	18000	-0.00274549	1	NaN	-0.861163	1	NaN	-10.4161	1	NaN	-0.969152	1	NaN	-0.238551	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.88786e-13	-2.18867e-14	NaN	NaN	17.9043	452.192	468.239	0	0	1356.95	34.271	35.4872	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	306.009	305.662	100621	1.13198	1025.06	0.025256	-0.0154581	0.0244522	3449.3	4880.47	0.0216013	70.6756	1431.17	299.596	-0.098676	0.00240975	0.0144828	0.0997623	-5.18457e-15	-1.61294e-17	0.0997623	0.875116	96.5919	178.601	8.34731	NaN	0.0492482	0.0171012	12.2094	0.174701	0.0826763	0.0150697	1	0.760225	1	1	1	3	6	34	-0.00265122	1.03556	-1.37217	1.05528	-8.19436	1.21	-0.675857	1.21	-0.187669	1.21	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	801101099	801101199	899999999	899999999	89999	89999	89	89	1	8	0	8	24	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0256393	0.00555718	0.00300583	0.0137748	0.0128109	313.095	NaN	NaN	-0.00118255	-0.000675857	-0.187669	NaN	NaN	12.73	452.191	34.271	26.3664	97.9434	092
DATA	2022-08-23T000000_smart3-00557.ghg	2022-08-23	00:30:00	235.0208	0	18000	18000	-0.00249477	0	NaN	-0.817529	2	NaN	-3.36366	2	NaN	0.740759	1	NaN	-0.0770156	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.44981e-11	4.20057e-12	NaN	NaN	17.7591	448.213	464.251	0	1	1368.83	34.5471	35.7833	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.824	305.403	100605	1.13265	1025.22	0.0252385	-0.00499061	0.0246663	3476.55	4809.76	0.0217776	72.2812	1333.21	299.729	-0.193913	0.0453932	0.0225688	0.20043	1.73738e-15	3.06874e-15	0.20043	0.992002	98.6406	166.825	6.46533	NaN	0.0469319	0.0256865	11.1297	0.191649	0.243048	0.0150011	1	3.53024	2	3	7	12	27	116	-0.00242922	1.02698	-0.964775	1.04675	-2.6229	1.18556	0.688471	1.18556	-0.0600551	1.18556	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	801101199	899999999	899999999	89999	89999	89	89	4	20	2	4	38	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0256235	0.0190758	0.00667379	0.0545106	0.015685	525.467	NaN	NaN	-0.000830836	0.000688471	-0.0600551	NaN	NaN	12.73	448.21	34.5471	26.4991	97.8844	125
DATA	2022-08-23T003000_smart3-00557.ghg	2022-08-23	01:00:00	235.0416	0	18000	18000	-0.00606203	1	NaN	-1.23986	2	NaN	15.9443	1	NaN	0.266009	2	NaN	0.365024	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.63948e-11	-2.78775e-12	NaN	NaN	17.7727	448.504	464.46	0	1	1361.34	34.3543	35.5765	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.619	305.284	100577	1.13286	1025.1	0.0252356	0.0236535	0.0245314	3456.19	4777.44	0.0216544	72.344	1321.25	299.629	0.00479717	0.00878569	0.0108054	0.0147295	1.11117e-14	-2.04779e-15	0.0147295	0.54523	157.701	61.3645	47.1881	NaN	0.0731511	0.0130348	27.7823	0.0767754	-0.0777622	0.0145951	1	0.00224444	NaN	NaN	NaN	NaN	NaN	NaN	-0.00509046	1.19086	-0.270237	1.10981	12.8942	1.21018	0.135862	1.21018	0.295197	1.21018	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001199	800111199	899999999	899999999	89999	89999	89	89	1	4	3	6	4	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00396429	0.0171465	0.00495884	0.0203467	0.00977047	221.647	NaN	NaN	-0.000232702	0.000135862	0.295197	NaN	NaN	12.7245	448.504	34.3543	26.4007	97.8711	002
DATA	2022-08-23T010000_smart3-00557.ghg	2022-08-23	01:30:00	235.0624	0	18000	18000	-0.00236034	0	NaN	-1.90031	1	NaN	-7.9431	2	NaN	-0.904326	1	NaN	-0.181824	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.31201e-12	-3.35609e-13	NaN	NaN	17.7208	447.055	463.171	0	1	1379.24	34.7949	36.0492	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.72	305.154	100566	1.13302	1025.36	0.0252276	-0.0117822	0.0248538	3500.13	4742.63	0.0219358	73.8014	1242.5	299.844	0.276324	-0.0798949	0.0532742	0.292535	8.01114e-15	-2.4333e-16	0.292535	1.12836	287.742	343.874	10.4928	NaN	0.0456424	0.0263354	4.40311	0.484431	0.23924	0.0358379	1	7.13594	3	7	14	27	60	277	-0.00227637	1.03689	-2.17037	1.07254	-5.67595	1.29383	-0.5627	1.29383	-0.129927	1.29383	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801000099	899999999	899999999	89999	89999	89	89	5	16	1	7	10	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0181543	0.027706	0.00681046	0.0467257	0.00247379	93.2105	NaN	NaN	-0.00186818	-0.0005627	-0.129927	NaN	NaN	12.72	447.054	34.7949	26.6156	97.8156	065
DATA	2022-08-23T013000_smart3-00557.ghg	2022-08-23	02:00:00	235.0833	0	18000	18000	-0.0134649	1	NaN	23.08	1	NaN	-16.798	2	NaN	-9.59057	1	NaN	-0.384479	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.04337e-11	8.07174e-13	NaN	NaN	17.9061	451.509	467.851	0	1	1385.25	34.9297	36.1939	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.42	305.044	100579	1.13351	1025.43	0.0252154	-0.0249142	0.0249622	3514.12	4713.07	0.022022	74.5612	1198.95	299.912	-0.012031	0.000997667	0.0167882	0.0206781	-2.28831e-15	5.82691e-16	0.0206781	0.645836	130.526	175.26	54.2804	NaN	0.10899	0.0208871	-4.93691	-0.432052	-1.37397	-0.182185	1	0.00252434	NaN	NaN	NaN	NaN	NaN	NaN	-0.0113791	1.1833	19.3764	1.14085	-16.2697	1.23855	-8.5443	1.23855	-0.372386	1.23855	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800111099	899999999	899999999	89999	89999	89	89	0	13	0	0	22	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.009575	0.0113283	0.020871	0.0624337	0.0242897	458.126	NaN	NaN	0.0166701	-0.0085443	-0.372386	NaN	NaN	12.7112	451.508	34.9296	26.6819	97.7815	163
DATA	2022-08-23T020000_smart3-00557.ghg	2022-08-23	02:30:00	235.1041	0	18000	18000	-0.00554547	1	NaN	-6.6421	1	NaN	14.4432	1	NaN	0.814341	1	NaN	0.330527	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.75384e-11	-5.18874e-12	NaN	NaN	18.0586	455.139	471.63	0	1	1387.38	34.9667	36.2337	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.209	304.879	100572	1.13404	1025.45	0.0252034	0.0214182	0.0250006	3517.63	4669.45	0.0220456	75.3329	1151.82	299.929	0.0416602	-0.00500846	0.0191675	0.0461307	-3.69045e-15	-3.73995e-15	0.0461307	1.00586	228.864	353.145	24.551	NaN	0.0699287	0.0182734	4.53075	0.470783	-0.459878	0.0816782	1	0.0296781	1	15	NaN	NaN	NaN	NaN	-0.0052736	1.05155	-5.47087	1.07191	11.9583	1.26053	0.795055	1.26053	0.273662	1.26053	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	811110199	899999999	899999999	89999	89999	89	89	1	1	0	5	12	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0237259	0.0098885	0.0029323	0.0671614	0.00594299	312.831	NaN	NaN	-0.00470449	0.000795055	0.273662	NaN	NaN	12.7057	455.138	34.9667	26.6993	97.7483	180
DATA	2022-08-23T023000_smart3-00557.ghg	2022-08-23	03:00:00	235.1249	0	18000	18000	-0.00144857	1	NaN	3.0013	1	NaN	4.39451	0	NaN	-1.26248	1	NaN	0.100582	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.03919e-11	6.86878e-12	NaN	NaN	18.1364	457.345	473.811	0	1	1378.16	34.7531	36.0044	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.25	305.03	100568	1.13352	1025.33	0.0252169	0.0065177	0.0248345	3495.99	4709.43	0.0219092	74.2337	1213.45	299.824	0.0385323	0.0180545	0.020697	0.0473188	1.97198e-15	4.984e-15	0.0473188	0.778684	197.439	25.1057	25.9378	NaN	0.0357482	0.0163446	-1.33947	-1.59242	0.682966	-0.0722372	1	0.319811	1	1	1	3	NaN	NaN	-0.00130581	1.10933	3.00412	1.08748	3.20011	1.16621	-1.25366	1.16621	0.0732443	1.16621	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810110099	899999999	899999999	89999	89999	89	89	4	7	0	11	5	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0101213	0.0196771	0.00289091	0.0537604	0.00967524	127.686	NaN	NaN	0.00258478	-0.00125366	0.0732443	NaN	NaN	12.69	457.344	34.7531	26.5953	97.7498	144
DATA	2022-08-23T030000_smart3-00557.ghg	2022-08-23	03:30:00	235.1458	0	18000	18000	-0.00323169	1	NaN	-5.09629	1	NaN	10.9946	1	NaN	1.92548	1	NaN	0.25163	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.38067e-11	-2.58867e-12	NaN	NaN	18.2039	458.96	475.677	0	1	1393.92	35.1438	36.4238	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	305.214	304.966	100566	1.13357	1025.56	0.0252122	0.0163056	0.0251184	3535.21	4692.35	0.0221588	75.3398	1157.14	300.013	0.0781361	-0.0354586	0.0189007	0.0878624	-1.09969e-15	-1.85712e-15	0.0878624	0.597363	295.605	335.591	12.4224	NaN	0.0533939	0.0128829	2.6286	0.811458	-0.463525	0.0821023	1	0.261677	1	1	1	5	NaN	NaN	-0.00308244	1.04842	-4.17121	1.08674	8.58856	1.33709	1.54937	1.33709	0.196563	1.33709	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001199	800011199	899999999	899999999	89999	89999	89	89	0	4	0	1	2	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0189685	0.00465536	0.00214203	0.0444461	0.0124304	265.491	NaN	NaN	-0.00358802	0.00154937	0.196563	NaN	NaN	12.69	458.96	35.1436	26.7843	97.7244	199
DATA	2022-08-23T033000_smart3-00557.ghg	2022-08-23	04:00:00	235.1666	0	18000	18000	-0.000384879	1	NaN	-0.0329829	2	NaN	0.562543	2	NaN	-0.151643	2	NaN	0.0128697	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.04879e-13	7.9131e-15	NaN	NaN	18.3209	461.314	477.949	0	1	1382.31	34.806	36.0612	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	304.764	304.567	100564	1.13518	1025.35	0.0251796	0.000833956	0.0249092	3501.19	4587.59	0.021943	76.3186	1086.4	299.849	-0.0575264	0.057896	0.00341715	0.0816879	2.66596e-15	5.72455e-18	0.0816879	0.4499	141.779	134.817	2.39749	NaN	0.0184132	0.00445418	16.656	0.128062	-0.0586317	0.00153894	1	3.93812	2	4	7	14	29	121	-0.000358118	1.07473	0.000737824	1.06322	0.483266	1.13515	-0.137317	1.13515	0.011056	1.13515	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111199	899999999	899999999	89999	89999	89	89	1	7	1	7	7	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00509665	0.00311069	0.000701018	0.0178454	0.00556485	312.942	NaN	NaN	6.33891e-7	-0.000137317	0.011056	NaN	NaN	12.69	461.313	34.8062	26.6199	97.6781	151
