DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-11-01T233000_smart3-00557.ghg	2022-11-02	00:00:00	306	0	18000	18000	0.000447778	1	NaN	-0.0669356	2	NaN	0.46328	0	NaN	-0.107661	2	NaN	0.010418	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.17351e-11	3.65969e-13	NaN	NaN	19.3622	450.709	457.134	0	1	603.825	14.0557	14.2561	0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.724	286.803	102436	1.23769	1013.11	0.0232778	0.000675083	0.0108809	1440.19	1558.15	0.00879131	92.4296	117.959	285.563	-0.105492	0.0821561	0.000257146	0.13371	-4.69543e-16	6.06084e-16	0.13371	0.533811	131.864	142.089	0.110189	NaN	0.0190206	0.00889017	9.12907	0.233649	-0.144482	0.0028065	1	8.55987	4	8	17	32	72	332	0.000435127	1.02907	-0.0404857	1.04195	0.398735	1.15807	-0.0939087	1.15807	0.0089665	1.15807	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800101099	899999999	899999999	89999	89999	89	89	0	0	4	6	4	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0123073	0.00445222	0.00102084	0.0144156	0.00523426	4.32335	NaN	NaN	-0.0000322875	-0.0000939087	0.0089665	NaN	NaN	12.35	450.706	14.0556	12.3434	92.7926	242
DATA	2022-11-02T000000_smart3-00557.ghg	2022-11-02	00:30:00	306.0208	0	18000	18000	-0.00411497	1	NaN	4.53404	1	NaN	-6.82979	1	NaN	-2.65151	1	NaN	-0.153553	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.53309e-11	-2.00786e-12	NaN	NaN	19.4809	453.165	459.565	0	0	598.722	13.9274	14.1241	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.61	286.592	102430	1.23859	1013.03	0.0232619	-0.00995025	0.010789	1426.97	1536.94	0.00871067	92.8452	109.966	285.423	-0.153138	0.0575776	0.0177187	0.164561	7.45421e-15	-3.35358e-15	0.164561	0.740314	114.297	159.394	6.18116	NaN	0.0576394	0.0226548	-3.75019	-0.568772	-0.663862	-0.0626924	1	1.8115	1	1	2	4	6	15	-0.00393836	1.04484	3.98376	1.04272	-6.37134	1.10972	-2.54797	1.10972	-0.143246	1.10972	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100199	800111199	899999999	899999999	89999	89999	89	89	0	3	0	2	2	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0225503	0.0165292	0.00622999	0.051094	0.012333	57.4333	NaN	NaN	0.00317499	-0.00254797	-0.143246	NaN	NaN	12.3421	453.166	13.9275	12.2023	92.6576	124
DATA	2022-11-02T003000_smart3-00557.ghg	2022-11-02	01:00:00	306.0416	0	18000	18000	-0.0150511	1	NaN	-13.6552	1	NaN	11.5533	1	NaN	3.43756	1	NaN	0.259799	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.74544e-11	-1.43193e-12	NaN	NaN	19.2683	448.621	454.777	0	1	581.42	13.5371	13.7229	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.849	286.781	102406	1.23767	1012.81	0.0232828	0.0168349	0.0104772	1386.65	1555.93	0.00846528	89.1203	169.281	284.988	0.236542	-0.0369581	0.0507108	0.244724	-1.54454e-14	-2.46282e-15	0.244724	1.85347	238.998	351.12	11.9593	NaN	0.110276	0.128767	8.71817	0.244662	-1.18193	0.0987833	1	0.864172	1	1	2	3	6	29	-0.0146765	1.02552	-12.4842	1.04572	10.4581	1.18368	3.42398	1.18368	0.23517	1.18368	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	6	8	11	2	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.185637	0.0597534	0.0121438	0.261262	0.0518746	152.374	NaN	NaN	-0.00995929	0.00342398	0.23517	NaN	NaN	12.34	448.617	13.537	11.7653	92.9412	074
DATA	2022-11-02T010000_smart3-00557.ghg	2022-11-02	01:30:00	306.0624	0	18000	18000	-0.0459236	1	NaN	-32.3212	1	NaN	16.1975	1	NaN	3.2905	1	NaN	0.364418	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.50852e-10	-4.48704e-12	NaN	NaN	18.9169	441.366	447.237	0.5	0	562.679	13.1283	13.303	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	287.167	287.315	102381	1.23526	1012.59	0.0233318	0.0236143	0.0101395	1344.45	1610.86	0.00820838	83.4618	266.407	284.521	0.531585	-0.200223	0.0841059	0.574235	1.11181e-14	-7.97442e-15	0.574235	3.54647	275.878	339.361	8.42218	NaN	0.192814	0.276632	19.6837	0.108364	-1.99545	0.134015	1	1.87384	1	2	3	6	13	47	-0.0451464	1.01722	-30.4589	1.0328	16.0223	1.13804	4.24496	1.13804	0.360477	1.13804	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800110199	899999999	899999999	89999	89999	89	89	6	3	2	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.455467	0.0617734	0.0360238	0.363914	0.0220177	120.054	NaN	NaN	-0.0243512	0.00424496	0.360477	NaN	NaN	12.34	441.365	13.1282	11.2986	93.267	249
DATA	2022-11-02T013000_smart3-00557.ghg	2022-11-02	02:00:00	306.0833	0	18000	18000	-0.0297842	1	NaN	-12.658	1	NaN	11.5592	1	NaN	2.44062	2	NaN	0.260139	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.5794e-12	2.20136e-13	NaN	NaN	18.6568	435.888	441.477	0	1	541.868	12.6599	12.8223	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	287.595	287.614	102349	1.2338	1012.34	0.0233635	0.016857	0.00976445	1296.07	1642.33	0.00791412	78.9165	346.261	283.968	1.20227	-0.648905	0.0371775	1.36672	7.09678e-15	4.06255e-16	1.36672	3.7288	293.629	331.643	1.55875	NaN	0.155371	0.332968	26.2898	0.0811341	-1.09506	0.0652268	1	12.4924	5	11	23	43	92	385	-0.0293394	1.01516	-11.6669	1.03181	10.7622	1.13929	2.61971	1.13929	0.242203	1.13929	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800011199	899999999	899999999	89999	89999	89	89	1	18	0	7	15	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.448068	0.142462	0.0754067	0.104843	0.00959095	58.4698	NaN	NaN	-0.00934078	0.00261971	0.242203	NaN	NaN	12.3446	435.886	12.6598	10.748	93.4401	089
DATA	2022-11-02T020000_smart3-00557.ghg	2022-11-02	02:30:00	306.1041	0	18000	18000	-0.01963	1	NaN	-13.9389	1	NaN	9.5415	1	NaN	1.62001	1	NaN	0.214671	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.00215e-10	-2.94297e-12	NaN	NaN	18.7386	437.434	443.126	0	0	550.291	12.846	13.0131	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	287.059	287.322	102330	1.23475	1012.44	0.0233439	0.0139107	0.00991625	1314.89	1611.61	0.00803098	81.5884	296.722	284.185	0.45417	-0.129111	0.0546445	0.475317	3.23235e-14	-5.34803e-15	0.475317	2.26705	260.773	344.131	6.60157	NaN	0.126087	0.231086	12.7581	0.167188	-1.46087	0.0884324	1	2.81977	1	3	5	10	21	87	-0.0192474	1.01988	-12.9447	1.03791	8.95402	1.15793	1.94597	1.15793	0.201453	1.15793	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111199	899999999	899999999	89999	89999	89	89	1	4	2	3	4	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.354641	0.0823555	0.0251763	0.2949	0.0128177	88.1662	NaN	NaN	-0.0103549	0.00194597	0.201453	NaN	NaN	12.35	437.432	12.8458	10.9641	93.3866	201
DATA	2022-11-02T030000_smart3-00557.ghg	2022-11-02	03:30:00	306.1458	0	18000	18000	-0.0593707	1	NaN	34.4801	2	NaN	-21.9641	1	NaN	-5.23646	2	NaN	-0.493842	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.83938e-10	-8.34457e-12	NaN	NaN	18.8262	438.727	444.458	0	1	553.278	12.8936	13.0621	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.598	286.648	102265	1.23684	1012.45	0.0233041	-0.0320009	0.00997008	1318.92	1542.53	0.00806094	85.5036	223.611	284.231	-0.0607827	-0.0593256	0.0418726	0.0946962	-3.34835e-15	-1.50821e-14	0.0946962	1.88309	70.5022	224.305	26.2429	NaN	0.219094	0.117236	-27.0471	-0.0788625	-1.56984	-0.125676	0	50.7868	-7.70709	17.4335	43.4118	66.2057	92.8545	139.113	-0.0556336	1.06717	31.4419	1.05799	-21.3048	1.1286	-6.05014	1.1286	-0.479019	1.1286	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	3	4	0	0	6	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0606494	0.143762	0.0300612	0.175094	0.00690869	33.8833	NaN	NaN	0.0251086	-0.00605014	-0.479019	NaN	NaN	12.3287	438.727	12.8936	11.0115	93.2071	223
DATA	2022-11-02T033000_smart3-00557.ghg	2022-11-02	04:00:00	306.1666	0	18000	18000	-0.0148404	0	NaN	6.11861	0	NaN	-10.0436	0	NaN	-3.17318	0	NaN	-0.225754	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.01581e-11	-1.18652e-12	NaN	NaN	18.9852	441.945	447.793	0	1	560.94	13.0578	13.2305	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.304	286.336	102266	1.23813	1012.54	0.0232784	-0.0146288	0.0101081	1335.73	1511.43	0.00816405	88.3753	175.7	284.422	-0.293406	-0.0331562	0.0384185	0.297763	-4.3171e-15	-2.11523e-15	0.297763	2.29407	83.7987	186.447	7.41319	NaN	0.109481	0.0689522	-19.0187	-0.112153	-0.609204	-0.0445797	1	2.0113	1	2	3	5	9	23	-0.0144183	1.02927	5.38553	1.03228	-9.42104	1.09731	-3.09575	1.09731	-0.21176	1.09731	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	810100099	810100099	899999999	899999999	89999	89999	89	89	7	3	1	2	4	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0562678	0.0615775	0.0200591	0.175847	0.00938444	47.9912	NaN	NaN	0.00429588	-0.00309575	-0.21176	NaN	NaN	12.32	441.945	13.0577	11.202	92.9836	017
DATA	2022-11-02T040000_smart3-00557.ghg	2022-11-02	04:30:00	306.1874	0	18000	18000	-0.00214602	0	NaN	0.858247	0	NaN	-1.41509	0	NaN	-0.355841	0	NaN	-0.0317901	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.70414e-12	5.07352e-14	NaN	NaN	19.1747	445.324	451.308	0	1	570.864	13.2581	13.4362	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	285.533	285.771	102301	1.2409	1012.64	0.0232246	-0.00206	0.010287	1356.68	1456.59	0.00828993	93.1407	99.9124	284.657	-0.197843	0.0800369	0.0157644	0.214	4.43055e-15	8.88743e-17	0.214	0.820656	114.146	157.974	4.22455	NaN	0.0415861	0.0247627	-7.43299	-0.286964	-0.606498	-0.0164238	1	5.71775	3	5	8	12	21	51	-0.00206938	1.03703	0.751612	1.03745	-1.32055	1.10337	-0.351206	1.10337	-0.0296664	1.10337	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800011199	801111199	899999999	899999999	89999	89999	89	89	0	4	0	27	32	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0271857	0.0183369	0.00400276	0.0709906	0.00473577	20.8628	NaN	NaN	0.000598139	-0.000351206	-0.0296664	NaN	NaN	12.3246	445.325	13.2581	11.4375	92.591	230
