DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-11-23T233000_smart3-00557.ghg	2022-11-24	00:00:00	328	0	18000	18000	-0.00543786	1	NaN	-3.03551	1	NaN	-1.3412	2	NaN	-0.0804302	2	NaN	-0.0301564	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.714e-11	2.59502e-12	NaN	NaN	19.0563	444.123	450.076	0	1	567.494	13.2259	13.4032	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.372	286.677	102268	1.23659	1012.64	0.0233059	-0.00195414	0.0102262	1352.95	1545.45	0.00826972	87.544	192.501	284.616	0.381401	-0.0527672	0.070526	0.39144	-5.674e-15	4.57277e-15	0.39144	1.5809	266.244	352.123	10.3797	NaN	0.0663134	0.0732178	8.51935	0.250371	2.26328	0.0365554	1	6.29703	3	6	12	23	52	233	-0.00531035	1.02401	-2.96984	1.04621	-0.932464	1.19043	0.0790498	1.19043	-0.0209662	1.19043	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	11	0	4	0	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0945355	0.0383696	0.0135304	0.0665076	0.00872474	25.5479	NaN	NaN	-0.00237167	0.0000790498	-0.0209662	NaN	NaN	11.6621	444.123	13.2259	11.3957	95.5028	166
DATA	2022-11-24T000000_smart3-00557.ghg	2022-11-24	00:30:00	328.0208	0	18000	18000	-0.00932842	0	NaN	-2.54739	0	NaN	-0.431558	2	NaN	0.644343	1	NaN	-0.00970525	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.42508e-10	4.32021e-12	NaN	NaN	18.8938	440.677	446.644	0	1	572.777	13.3594	13.5403	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.575	286.872	102258	1.23557	1012.72	0.0233239	-0.0006289	0.0103214	1366.47	1565.22	0.00835359	87.3024	198.745	284.766	0.796078	-0.297155	-0.00735784	0.849762	2.61451e-14	7.54257e-15	0.849762	2.17408	288.223	339.531	-0.496114	NaN	0.0868901	0.0769168	22.8367	0.0934024	5.90278	0.0234299	1	14.5298	6	13	27	51	111	475	-0.00918224	1.01592	-2.49232	1.03184	-0.215536	1.13691	0.688446	1.13691	-0.00484716	1.13691	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800010199	899999999	899999999	89999	89999	89	89	0	3	0	22	30	31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0750708	0.0480758	0.0306868	0.00491374	0.000539993	3.46509	NaN	NaN	-0.00199182	0.000688446	-0.00484716	NaN	NaN	11.6575	440.677	13.3594	11.5465	95.491	126
DATA	2022-11-24T003000_smart3-00557.ghg	2022-11-24	01:00:00	328.0416	0	18000	18000	-0.0237401	1	NaN	-9.93488	1	NaN	7.91641	1	NaN	1.72925	1	NaN	0.178044	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.18508e-10	-3.64547e-12	NaN	NaN	18.8342	439.428	445.449	0	1	579.366	13.5174	13.7026	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.473	286.945	102251	1.2351	1012.81	0.0233313	0.0115372	0.0104402	1382.54	1572.64	0.00845289	87.9121	190.1	284.943	0.414375	-0.119113	0.0458381	0.433585	-2.71316e-14	-6.29216e-15	0.433585	2.42603	278.1	343.963	6.06859	NaN	0.138641	0.112231	23.7858	0.0896754	-1.25497	0.0572853	1	2.11466	1	2	4	7	14	54	-0.0233285	1.01765	-9.21899	1.03149	7.54229	1.12995	1.92248	1.12995	0.16963	1.12995	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801100099	899999999	899999999	89999	89999	89	89	0	7	0	19	4	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.163222	0.0411833	0.0200575	0.0367983	0.00635745	24.8282	NaN	NaN	-0.00736978	0.00192248	0.16963	NaN	NaN	11.64	439.427	13.5173	11.7229	95.4824	099
DATA	2022-11-24T010000_smart3-00557.ghg	2022-11-24	01:30:00	328.0624	0	18000	18000	-0.0134741	1	NaN	-8.83183	1	NaN	8.39895	1	NaN	1.33765	2	NaN	0.188894	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.62633e-11	2.67095e-12	NaN	NaN	18.7741	437.934	443.954	0	1	581.297	13.5597	13.746	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.41	286.932	102268	1.23533	1012.83	0.0233265	0.0122403	0.010475	1387.09	1571.31	0.00847946	88.2757	184.226	284.993	0.240733	-0.0658332	0.0129612	0.249909	1.93577e-14	4.59481e-15	0.249909	1.59555	263.074	344.705	2.97291	NaN	0.104438	0.0892591	11.4389	0.18647	-1.05154	0.0675885	1	1.08514	1	1	2	4	7	28	-0.0131629	1.02364	-8.05944	1.041	7.66246	1.16423	1.4746	1.16423	0.17233	1.16423	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800011199	899999999	899999999	89999	89999	89	89	0	3	0	12	0	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.140496	0.0262006	0.011822	0.0722121	0.0102021	59.3256	NaN	NaN	-0.00644146	0.0014746	0.17233	NaN	NaN	11.6354	437.934	13.5596	11.772	95.4775	065
DATA	2022-11-24T013000_smart3-00557.ghg	2022-11-24	02:00:00	328.0833	0	18000	18000	-0.00564004	1	NaN	3.76314	1	NaN	-6.64377	1	NaN	-1.15858	1	NaN	-0.149403	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.09714e-10	-3.44162e-12	NaN	NaN	18.8843	440.305	446.471	0	1	592.384	13.812	14.0054	-0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.066	286.819	102274	1.23578	1012.97	0.023316	-0.00968134	0.0106748	1412.99	1559.84	0.00863809	90.5851	146.858	285.273	-0.0488677	0.0377797	0.0107725	0.0627009	-9.50445e-15	-5.80979e-15	0.0627009	0.57984	139.36	142.292	9.89293	NaN	0.0675571	0.0160656	-7.26711	-0.293514	-0.566417	-0.0444983	1	0.177139	1	1	2	NaN	NaN	NaN	-0.00517374	1.09013	3.16198	1.07395	-5.94381	1.14877	-1.12356	1.14877	-0.133663	1.14877	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801111099	899999999	899999999	89999	89999	89	89	0	6	0	0	0	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0178459	0.0111699	0.00311535	0.0177005	0.00310863	29.486	NaN	NaN	0.00252594	-0.00112356	-0.133663	NaN	NaN	11.63	440.305	13.812	12.0531	95.4425	116
DATA	2022-11-24T020000_smart3-00557.ghg	2022-11-24	02:30:00	328.1041	0	18000	18000	-0.013791	1	NaN	6.31728	1	NaN	-9.67298	1	NaN	-2.22839	1	NaN	-0.217561	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.83718e-11	-1.83378e-12	NaN	NaN	18.8759	440.33	446.507	-0.3	0	592.997	13.8332	14.0273	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.265	286.999	102287	1.23515	1012.98	0.0233277	-0.014098	0.0106858	1415.33	1578.16	0.00865144	89.6828	162.822	285.299	-0.04407	0.00984155	0.00520574	0.0454546	-4.20419e-15	-3.0924e-15	0.0454546	1.19407	111.985	167.411	6.5763	NaN	0.105667	0.0539018	-16.5663	-0.128755	-0.653085	-0.0477826	1	0.0252445	1	NaN	NaN	NaN	NaN	NaN	-0.0123984	1.11232	5.30834	1.08959	-8.55708	1.16897	-2.10839	1.16897	-0.192463	1.16897	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	801100099	811111199	899999999	899999999	89999	89999	89	89	0	5	1	7	5	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0823263	0.0187951	0.00668217	0.0568815	0.0103017	94.718	NaN	NaN	0.00424265	-0.00210839	-0.192463	NaN	NaN	11.6538	440.33	13.8332	12.077	95.4495	073
DATA	2022-11-24T023000_smart3-00557.ghg	2022-11-24	03:00:00	328.1249	0	18000	18000	-0.00955973	1	NaN	3.75333	1	NaN	-7.62106	1	NaN	-2.04434	1	NaN	-0.171442	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.23901e-11	-2.25837e-12	NaN	NaN	18.783	438.526	444.608	0	1	585.979	13.6808	13.8706	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.5	287.196	102272	1.2342	1012.9	0.0233469	-0.0111095	0.0105593	1399.54	1598.43	0.00855561	87.5571	198.892	285.128	-0.131483	-0.0429371	0.0100886	0.138683	1.33744e-14	-3.85402e-15	0.138683	1.0365	72.4528	198.085	4.17168	NaN	0.0880096	0.0412332	-16.1087	-0.132413	-0.492495	-0.0341141	1	0.637511	1	1	1	2	4	47	-0.00909726	1.05084	3.18021	1.04679	-6.98758	1.1147	-1.94267	1.1147	-0.157192	1.1147	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	801100099	801100099	899999999	899999999	89999	89999	89	89	1	14	3	0	5	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0492806	0.0275479	0.00563789	0.0287739	0.00843394	76.9059	NaN	NaN	0.00254392	-0.00194267	-0.157192	NaN	NaN	11.655	438.526	13.6808	11.9072	95.4766	186
DATA	2022-11-24T030000_smart3-00557.ghg	2022-11-24	03:30:00	328.1458	0	18000	18000	-0.0329678	1	NaN	-34.1433	1	NaN	69.3961	1	NaN	20.8258	1	NaN	1.5612	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.29442e-10	-7.1906e-12	NaN	NaN	18.8902	441.187	447.373	0	1	592.009	13.8266	14.0205	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.415	287.242	102252	1.23368	1012.99	0.0233554	0.101166	0.010668	1414.18	1603.31	0.00864727	88.2037	189.131	285.286	0.0126247	0.00197331	0.0278906	0.0306784	-5.1617e-15	-1.21461e-14	0.0306784	1.21808	133.641	8.88376	65.3853	NaN	0.163472	0.0339623	11.3464	0.187988	-0.492006	0.16713	1	0.00134088	NaN	NaN	NaN	NaN	NaN	NaN	-0.0307796	1.07109	-28.6128	1.06563	59.2456	1.19738	18.318	1.19738	1.33284	1.19738	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	801100099	811110199	899999999	899999999	89999	89999	89	89	0	7	0	2	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.014822	0.0135867	0.039516	0.0284658	0.0155098	88.4861	NaN	NaN	-0.0228957	0.018318	1.33284	NaN	NaN	11.62	441.187	13.8266	12.0647	95.4636	188
DATA	2022-11-24T033000_smart3-00557.ghg	2022-11-24	04:00:00	328.1666	0	18000	18000	-0.0415051	1	NaN	-36.9872	1	NaN	66.1775	1	NaN	15.0485	1	NaN	1.48876	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.95587e-11	-2.4857e-12	NaN	NaN	18.8061	439.174	445.284	0	1	587.57	13.7214	13.9123	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.46	287.22	102256	1.23387	1012.93	0.0233527	0.0964714	0.010588	1403.46	1600.99	0.00858112	87.6621	197.528	285.171	0.0241145	0.00127624	0.0209192	0.0319492	-5.61713e-15	-4.23047e-15	0.0319492	0.90055	134.021	3.0295	40.9019	NaN	0.183407	0.0404431	14.7923	0.144197	-0.558909	0.161357	1	0.00120776	NaN	NaN	NaN	NaN	NaN	NaN	-0.038705	1.07235	-31.4834	1.06319	57.3971	1.18404	13.7937	1.18404	1.29123	1.18404	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	1	8	3	1	3	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0382378	0.0124681	0.0301804	0.0390916	0.0133476	103.631	NaN	NaN	-0.0251903	0.0137937	1.29123	NaN	NaN	11.62	439.174	13.7213	11.949	95.4681	225
