DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-09-06T233000_smart3-00557.ghg	2022-09-07	00:00:00	250	0	18000	18000	-0.0188595	1	NaN	17.7478	0	NaN	-28.0702	0	NaN	-3.7685	0	NaN	-0.637707	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.51815e-11	-1.95185e-12	NaN	NaN	18.0203	438.445	449.376	0	1	999.757	24.3247	24.9312	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.691	297.384	101619	1.17951	1019.15	0.0243307	-0.0413234	0.0180156	2472.51	3017.22	0.0152738	81.9468	544.705	294.067	-0.0195422	-0.00511641	0.0284197	0.0348677	3.19155e-15	-1.95233e-15	0.0348677	0.985532	28.1094	194.672	54.5946	NaN	0.126449	0.0310595	-10.0788	-0.211633	-0.632264	-0.116759	1	0.00735933	1	NaN	NaN	NaN	NaN	NaN	-0.0166371	1.13358	14.6031	1.10476	-24.8717	1.18899	-3.68675	1.18899	-0.565041	1.18899	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001199	801101199	899999999	899999999	89999	89999	89	89	18	50	3	8	20	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0171255	0.0146052	0.0303883	0.0376424	0.008065	69.9989	NaN	NaN	0.0121481	-0.00368675	-0.565041	NaN	NaN	12.7775	438.445	24.3248	20.8419	96.4373	011
DATA	2022-09-07T000000_smart3-00557.ghg	2022-09-07	00:30:00	250.0208	0	18000	18000	-0.0548565	1	NaN	-28.0283	1	NaN	27.2561	1	NaN	3.34569	1	NaN	0.619273	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.76214e-10	-1.52404e-11	NaN	NaN	18.0574	439.457	450.377	0.3	0	996.337	24.2475	24.85	0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.808	297.487	101629	1.17925	1019.11	0.0243366	0.0401289	0.017954	2464.91	3035.93	0.0152249	81.1912	571.021	294.017	0.110762	0.132028	0.0889231	0.193925	-3.42915e-14	-1.52964e-14	0.193925	2.12153	196.794	50.0057	27.2931	NaN	0.21568	0.108286	31.6716	0.0673474	-1.02833	0.108133	0	48.9814	-7.43312	16.8137	41.8686	63.8522	89.5536	134.168	-0.0535926	1.02358	-25.6436	1.03285	26.7075	1.12451	3.99208	1.12451	0.606808	1.12451	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801100099	899999999	899999999	89999	89999	89	89	6	11	0	5	17	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.145879	0.0388014	0.031891	0.0476162	0.00429305	50.3169	NaN	NaN	-0.0213379	0.00399208	0.606808	NaN	NaN	12.76	439.456	24.2474	20.7919	96.4386	157
DATA	2022-09-07T003000_smart3-00557.ghg	2022-09-07	01:00:00	250.0416	0	18000	18000	-0.0459672	0	NaN	-21.8161	0	NaN	19.7395	0	NaN	3.58616	0	NaN	0.448459	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.90269e-10	-1.04943e-11	NaN	NaN	17.9694	437.26	448.066	0.2	0	991.099	24.117	24.713	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.829	297.409	101615	1.17946	1019.03	0.0243336	0.0290601	0.0178596	2451.31	3021.77	0.0151422	81.1217	570.46	293.927	0.499366	0.432703	0.181277	0.685171	2.39992e-14	-1.05886e-14	0.685171	3.10915	223.94	40.9091	15.3415	NaN	0.197416	0.192996	31.1999	0.0683656	-1.1052	0.0919443	1	2.66242	1	2	5	9	18	68	-0.0452793	1.01519	-20.1201	1.02898	19.5218	1.12315	3.99479	1.12315	0.443513	1.12315	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	4	0	17	10	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.280048	0.0658065	0.0401372	0.0542929	0.00574213	58.8524	NaN	NaN	-0.0167402	0.00399479	0.443513	NaN	NaN	12.7554	437.259	24.117	20.702	96.4152	053
DATA	2022-09-07T010000_smart3-00557.ghg	2022-09-07	01:30:00	250.0624	0	18000	18000	-0.0132795	0	NaN	-3.78938	0	NaN	3.62128	0	NaN	0.319664	2	NaN	0.082249	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.35861e-10	-7.45671e-12	NaN	NaN	18.0973	439.999	450.887	0.3	0	993.267	24.1493	24.7469	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.4	297.131	101606	1.18044	1019.04	0.024313	0.00532973	0.0178987	2454.37	2971.71	0.0151627	82.5913	517.337	293.947	0.405946	0.136375	0.102826	0.440413	2.53115e-14	-7.50725e-15	0.440413	2.16992	260.256	18.5694	13.5018	NaN	0.106064	0.0944902	27.8544	0.0765769	-1.04642	0.0297003	1	3.6651	2	3	7	12	25	100	-0.0130556	1.01715	-3.48016	1.03026	3.55391	1.1248	0.422592	1.1248	0.0807189	1.1248	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	4	15	1	11	13	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.116479	0.0564061	0.0160953	0.0386884	0.00439392	25.8157	NaN	NaN	-0.00289308	0.000422592	0.0807189	NaN	NaN	12.75	439.997	24.1492	20.7225	96.3664	053
DATA	2022-09-07T013000_smart3-00557.ghg	2022-09-07	02:00:00	250.0833	0	18000	18000	-0.0098749	0	NaN	-2.16296	2	NaN	1.5047	1	NaN	0.870958	0	NaN	0.0341664	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.99185e-11	-1.08577e-12	NaN	NaN	18.2067	442.214	453.137	0.4	0	992.454	24.1053	24.7007	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.142	296.849	101612	1.18165	1019.01	0.0242886	0.00221398	0.017884	2450.04	2921.79	0.0151348	83.8539	471.754	293.919	0.371995	0.0908527	0.102478	0.396404	3.52933e-14	-1.09402e-15	0.396404	1.66065	257.099	13.7247	14.9822	NaN	0.091416	0.059998	31.2453	0.0682663	-1.43747	0.0196497	1	4.00234	2	4	7	13	27	107	-0.00970494	1.01751	-2.01813	1.02992	1.54421	1.12219	0.860831	1.12219	0.0350637	1.12219	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	15	3	8	9	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0529928	0.0508586	0.0161447	0.0449407	0.00339526	18.9195	NaN	NaN	-0.00167603	0.000860831	0.0350637	NaN	NaN	12.7421	442.213	24.1053	20.6939	96.3026	139
DATA	2022-09-07T020000_smart3-00557.ghg	2022-09-07	02:30:00	250.1041	0	18000	18000	-0.00316887	1	NaN	-2.3311	1	NaN	1.38453	1	NaN	0.14164	1	NaN	0.0314264	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.57964e-11	-1.40984e-12	NaN	NaN	18.2044	441.604	452.526	0	0	994.921	24.1349	24.7317	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.725	296.473	101611	1.18312	1019.02	0.024258	0.00203643	0.0179285	2453.02	2856.36	0.0151535	85.8793	403.338	293.938	0.314044	-0.0503619	0.0311845	0.319582	-8.58795e-16	-1.41704e-15	0.319582	0.829751	279.827	350.889	5.59979	NaN	0.0517532	0.0201203	5.26032	0.405488	-1.68367	0.0373603	1	6.70623	3	6	13	25	56	259	-0.00307767	1.02963	-2.13728	1.05747	1.32627	1.23427	0.1997	1.23427	0.030104	1.23427	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800001199	899999999	899999999	89999	89999	89	89	0	11	0	11	18	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0302416	0.00700083	0.00299815	0.0148567	0.00122146	7.45851	NaN	NaN	-0.00177274	0.0001997	0.030104	NaN	NaN	12.7387	441.604	24.1348	20.7136	96.2167	255
DATA	2022-09-07T023000_smart3-00557.ghg	2022-09-07	03:00:00	250.1249	0	18000	18000	-0.00439631	1	NaN	-3.74004	1	NaN	3.57238	1	NaN	1.50624	1	NaN	0.0810709	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.79552e-11	-1.53197e-12	NaN	NaN	18.2795	443.114	454.142	0	1	1001.73	24.2831	24.8874	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.565	296.272	101613	1.18389	1019.11	0.0242411	0.00525339	0.0180512	2468.14	2821.82	0.0152475	87.4661	353.685	294.038	0.0481889	-0.0365088	0.0145277	0.0621781	-1.4225e-14	-1.52932e-15	0.0621781	0.763762	321.949	322.852	13.5119	NaN	0.0609382	0.0189278	5.35267	0.398493	-1.04693	0.0508696	1	0.106128	1	1	10	NaN	NaN	NaN	-0.00420827	1.04468	-3.33515	1.06574	3.17497	1.24331	1.33641	1.24331	0.072052	1.24331	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801010199	899999999	899999999	89999	89999	89	89	5	22	1	14	21	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0231538	0.0115216	0.00318016	0.0193482	0.0068769	16.22	NaN	NaN	-0.00276431	0.00133641	0.072052	NaN	NaN	12.73	443.114	24.283	20.8134	96.1231	194
DATA	2022-09-07T030000_smart3-00557.ghg	2022-09-07	03:30:00	250.1458	0	18000	18000	-0.00407566	1	NaN	-2.76514	1	NaN	2.35762	1	NaN	0.573726	1	NaN	0.0534917	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.7774e-11	9.72328e-13	NaN	NaN	18.4449	446.791	457.985	-0.3	0	1009.03	24.4418	25.0542	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.229	296.046	101611	1.1847	1019.19	0.024223	0.00346626	0.0181827	2484.22	2783.44	0.015348	89.2501	299.218	294.144	0.0386178	0.00826989	0.0152145	0.0423227	4.66323e-15	9.63625e-16	0.0423227	0.535857	229.963	12.0872	21.0688	NaN	0.0586537	0.0114764	6.45585	0.330398	-1.17285	0.0390444	1	0.0457551	1	2	NaN	NaN	NaN	NaN	-0.00386911	1.05338	-2.47664	1.06667	2.14525	1.2325	0.561871	1.2325	0.0486731	1.2325	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	17	0	6	8	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0160681	0.00468909	0.00219562	0.021144	0.00894874	27.8557	NaN	NaN	-0.00205116	0.000561871	0.0486731	NaN	NaN	12.7254	446.791	24.4418	20.9189	96.0278	003
DATA	2022-09-07T033000_smart3-00557.ghg	2022-09-07	04:00:00	250.1666	0	18000	18000	-0.00107512	1	NaN	-0.0774366	2	NaN	-0.963939	1	NaN	-0.299245	1	NaN	-0.0218662	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.55711e-11	8.52324e-13	NaN	NaN	18.5066	447.955	459.215	0	1	1013.01	24.52	25.1363	0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.018	295.837	101614	1.18554	1019.23	0.0242051	-0.00141693	0.0182544	2492.24	2748.41	0.0153976	90.6794	256.168	294.196	0.0547174	0.0201454	0.0124663	0.0596258	8.07191e-16	8.41381e-16	0.0596258	0.405995	235.643	20.2123	12.0682	NaN	0.0301143	0.00748304	31.201	0.0683633	0.0803335	0.00212807	1	0.854878	1	1	2	3	6	25	-0.00102718	1.04668	-0.125291	1.04877	-0.802426	1.15976	-0.246118	1.15976	-0.0182024	1.15976	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	4	0	2	9	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0103536	0.00341862	0.00119384	0.00667454	0.00389013	8.16488	NaN	NaN	-0.000103689	-0.000246118	-0.0182024	NaN	NaN	12.72	447.954	24.52	20.9715	95.9346	074
