DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2023-01-03T143000_smart3-00557.ghg	2023-01-03	15:00:00	3.6249	1	18000	18000	-0.0575696	1	NaN	66.477	1	NaN	34.4131	1	NaN	-0.395091	1	NaN	0.770869	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.74722e-10	4.39544e-12	NaN	NaN	18.9209	430.832	433.02	0.1	0	221.94	5.0536	5.07927	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.615	282.762	103244	1.26961	1008.04	0.0227701	0.0499523	0.00399936	521.896	1192.88	0.00315006	43.7511	670.979	270.999	-1.18554	-0.00472977	-0.100482	1.1898	-1.94201e-14	1.98046e-14	1.1898	4.36119	86.7085	180.229	-4.84454	NaN	0.212942	0.510002	-12.9498	-0.164713	1.93174	-0.243928	0	24.8451	-3.77034	8.52851	21.2372	32.3881	45.4247	68.0545	-0.0567962	1.01362	66.7881	1.02355	29.6586	1.09308	-3.84508	1.09308	0.664366	1.09308	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	8	6	1	1	14	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.508128	0.34223	0.169647	0.163912	0.00121745	20.2221	NaN	NaN	0.0521855	-0.00384508	0.664366	NaN	NaN	0	430.831	5.05354	-2.21558	91.911	096
DATA	2023-01-03T150000_smart3-00557.ghg	2023-01-03	15:30:00	3.6457	1	18000	18000	0.37041	1	NaN	-14.3115	2	NaN	-19.9177	2	NaN	3.3056	2	NaN	-0.44631	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.0472e-10	2.32147e-12	NaN	NaN	19.0438	434.118	436.265	0	1	215.951	4.92278	4.94714	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.334	283.1	103251	1.26825	1007.98	0.0227958	-0.0289209	0.00389144	508.419	1220.17	0.00306837	41.6678	711.753	270.646	0.432987	-0.610975	-0.143853	0.762537	1.97314e-13	1.075e-14	0.762537	3.69591	331.184	305.325	-10.8741	NaN	0.54043	0.987267	983.333	0.00216915	0.718531	0.0207153	0	47.7062	-7.23959	16.376	40.7785	62.1898	87.2221	130.675	0.36578	1.01266	-15.0484	1.02293	-17.7109	1.09754	3.87454	1.09754	-0.396861	1.09754	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	0	8	1	1	19	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.98182	0.778836	0.213879	0.0575735	0.15578	24.0724	NaN	NaN	-0.0117717	0.00387454	-0.396861	NaN	NaN	11.2409	434.114	4.92274	-2.56938	92.1067	100
DATA	2023-01-03T153000_smart3-00557.ghg	2023-01-03	16:00:00	3.6665	1	18000	18000	0.0383438	0	NaN	-0.633899	2	NaN	-2.33795	2	NaN	-0.798724	2	NaN	-0.0523954	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.57713e-11	-5.9706e-13	NaN	NaN	18.9198	431.483	433.486	0.1	0	202.546	4.61925	4.64068	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.244	283.244	103258	1.26783	1007.81	0.022806	-0.00339522	0.00364987	477.101	1232.04	0.00287884	38.7246	754.936	269.792	0.982822	-0.515534	-0.050468	1.11097	-2.66763e-15	-2.94778e-15	1.11097	3.07544	298.947	332.321	-2.60366	NaN	0.173907	0.265394	739.775	0.00288331	0.271135	0.00285274	1	8.62568	4	8	14	25	49	168	0.0378963	1.01181	-0.743004	1.02334	-2.0979	1.10173	-0.674369	1.10173	-0.0470156	1.10173	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	0	11	1	12	24	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.311294	0.140626	0.0788684	0.0238899	0.0310542	29.2939	NaN	NaN	-0.000581502	-0.000674369	-0.0470156	NaN	NaN	12.3641	431.481	4.6193	-3.42416	92.2632	076
DATA	2023-01-03T160000_smart3-00557.ghg	2023-01-03	16:30:00	3.6873	1	18000	18000	0.0643144	0	NaN	-10.0211	0	NaN	3.69025	0	NaN	-7.0078	0	NaN	0.0826233	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.29462e-11	-8.65204e-13	NaN	NaN	18.8994	429.507	431.44	-0.2	0	197.138	4.48014	4.50031	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.126	282.256	103260	1.27236	1007.72	0.0227259	0.00535399	0.00355243	462.744	1152.89	0.002792	40.1376	690.151	269.383	0.860772	-0.464654	-0.0635648	0.980241	2.54022e-14	-4.38882e-15	0.980241	2.93409	298.971	331.639	-3.71801	NaN	0.224827	0.404042	101.109	0.0210961	-2.71555	0.0347628	0	38.0224	-5.77005	13.0519	32.501	49.5661	69.5172	104.149	0.063508	1.0127	-9.58521	1.02489	3.53611	1.10786	-5.88518	1.10786	0.0791721	1.10786	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	3	13	0	41	44	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.533905	0.208907	0.0652714	0.013568	0.0241326	9.86053	NaN	NaN	-0.00747571	-0.00588518	0.0791721	NaN	NaN	12.12	429.507	4.48015	-3.82945	92.3461	187
DATA	2023-01-03T163000_smart3-00557.ghg	2023-01-03	17:00:00	3.7082	0	18000	18000	-0.0179519	0	NaN	-5.16441	0	NaN	5.14771	1	NaN	-0.153164	2	NaN	0.115179	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.69689e-11	2.8092e-13	NaN	NaN	18.8979	428.378	430.298	0	1	196.849	4.46217	4.48217	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	280.863	281.559	103268	1.27562	1007.7	0.022668	0.00746358	0.00354722	460.923	1099.78	0.00278078	41.9103	638.861	269.331	1.01834	-0.530696	-0.0286321	1.14869	1.50763e-14	1.42709e-15	1.14869	2.77574	296.616	332.474	-1.4283	NaN	0.11863	0.133833	28.8228	0.0740038	-1.00324	0.0338669	1	14.4341	6	13	27	50	106	438	-0.0176918	1.0147	-4.7495	1.03026	4.63832	1.13193	0.0593192	1.13193	0.103781	1.13193	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800011099	899999999	899999999	89999	89999	89	89	0	8	0	8	6	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.14324	0.0770735	0.0473512	0.016067	0.000570118	7.2393	NaN	NaN	-0.00369486	0.0000593192	0.103781	NaN	NaN	11.7778	428.377	4.4622	-3.88169	92.3956	246
DATA	2023-01-03T170000_smart3-00557.ghg	2023-01-03	17:30:00	3.729	0	18000	18000	-0.0922617	1	NaN	-122.181	1	NaN	57.7536	1	NaN	38.857	1	NaN	1.29083	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.40703e-10	4.7786e-12	NaN	NaN	19.3885	437.671	439.758	-0.2	0	210.233	4.74573	4.76836	-0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.621	280.435	103286	1.28081	1007.83	0.0225737	0.083646	0.00378839	490.297	1018.72	0.00295781	48.1289	528.42	270.157	0.0408241	-0.0216809	0.0248593	0.0524848	4.84763e-14	2.27301e-14	0.0524848	1.521	93.1516	332.028	28.2713	NaN	0.268391	0.106082	14.1104	0.151166	-2.11556	0.352666	0	55.2658	-8.3868	18.971	47.2404	72.0446	101.044	151.382	-0.087908	1.04953	-113.241	1.05272	51.6913	1.17339	38.2106	1.17339	1.15534	1.17339	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	801100199	899999999	899999999	89999	89999	89	89	1	0	0	8	22	34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.152697	0.0229479	0.0365192	0.330953	0.062111	63.7322	NaN	NaN	-0.0877266	0.0382106	1.15534	NaN	NaN	11.52	437.661	4.74543	-3.06306	92.4171	120
DATA	2023-01-03T173000_smart3-00557.ghg	2023-01-03	18:00:00	3.7498	0	18000	18000	-0.000204573	1	NaN	1.44072	1	NaN	-0.259548	2	NaN	0.463243	1	NaN	-0.00579432	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.94503e-11	-4.3502e-13	NaN	NaN	19.951	448.325	450.553	0.4	0	220.001	4.9437	4.96826	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.545	279.21	103303	1.28655	1007.92	0.0224713	-0.000375472	0.00396441	510.836	936.367	0.00308143	54.5551	425.531	270.71	-0.159195	0.0322005	0.00138454	0.162425	9.57575e-16	-1.97736e-15	0.162425	0.508071	104.942	168.565	0.488404	NaN	0.0126099	0.00833543	-0.124121	-17.1848	-5.55088	-0.0881086	1	4.61367	2	4	6	8	13	28	-0.000195713	1.04527	1.36802	1.04301	-0.26798	1.11008	0.34813	1.11008	-0.00598254	1.11008	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800001199	899999999	899999999	89999	89999	89	89	0	9	1	7	0	49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0128421	0.00293402	0.000894753	0.0748776	0.17269	22.4218	NaN	NaN	0.00105498	0.00034813	-0.00598254	NaN	NaN	11.4567	448.316	4.94358	-2.50511	92.4127	152
DATA	2023-01-03T180000_smart3-00557.ghg	2023-01-03	18:30:00	3.7707	0	18000	18000	-0.00305461	1	NaN	-2.4639	1	NaN	1.21131	1	NaN	-1.88856	1	NaN	0.0270216	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.4154e-11	-2.63634e-13	NaN	NaN	21.4338	480.226	482.757	0	1	233.943	5.24152	5.26914	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	277.783	278.414	103313	1.2902	1008.06	0.0224051	0.001751	0.00421565	541.661	886.071	0.00326743	61.1307	344.41	271.503	-0.0666005	0.0103905	0.0090866	0.0680159	1.0943e-14	-1.12691e-15	0.0680159	0.496423	110.034	171.133	7.67739	NaN	0.0486574	0.012019	4.17024	0.511481	-2.03407	0.0389338	1	0.215686	1	1	2	10	NaN	NaN	-0.00292138	1.04561	-2.24199	1.07332	0.998864	1.27777	-1.37403	1.27777	0.0222824	1.27777	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100199	899999999	899999999	89999	89999	89	89	0	23	4	3	13	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0190713	0.00344205	0.00152464	0.0486645	0.224661	48.7616	NaN	NaN	-0.0017238	-0.00137403	0.0222824	NaN	NaN	11.45	480.222	5.24147	-1.71475	92.3579	160
DATA	2023-01-03T183000_smart3-00557.ghg	2023-01-03	19:00:00	3.7915	0	18000	18000	0.000951703	1	NaN	-0.463178	0	NaN	1.45478	1	NaN	1.73929	1	NaN	0.0324358	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.63085e-11	-6.34249e-13	NaN	NaN	21.8155	487.824	490.519	0	0	245.726	5.49476	5.52512	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	277.301	277.867	103311	1.2926	1008.19	0.0223614	0.00210184	0.00442797	567.824	852.905	0.00342562	66.5754	285.08	272.145	-0.0893881	0.0253816	-0.00179765	0.0929392	2.81506e-15	-2.58113e-15	0.0929392	0.587947	134.712	164.148	-1.1083	NaN	0.0271343	0.0182379	3.84728	0.554418	-0.318385	0.0130985	1	1.87539	1	2	3	6	13	52	0.00091444	1.04075	-0.367862	1.06878	1.15479	1.26505	1.38442	1.26505	0.0257474	1.26505	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	0	6	0	5	0	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0304178	0.00472984	0.00132824	0.025054	0.172775	20.0655	NaN	NaN	-0.000282277	0.00138442	0.0257474	NaN	NaN	11.45	487.824	5.49472	-1.06953	92.2846	209
